epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.6977,2.0104,3.2426,1.76559,0.00649,0.70588,0.08863,0.02954,1.90271,3.61237,1.6753,0.00064,0.00064,0.00064
2,146.231,1.9169,2.55746,1.59446,0.41614,0.21663,0.19892,0.08673,1.68701,3.17943,1.71466,0.00129356,0.00129356,0.00129356
3,224.389,1.84032,2.26382,1.60464,0.27323,0.23529,0.18653,0.06255,1.89908,3.62655,1.81568,0.0019406,0.0019406,0.0019406
4,301.918,1.85313,2.31757,1.70768,0.39508,0.29412,0.281,0.08829,2.17262,3.97321,2.23589,0.0019703,0.0019703,0.0019703
5,392.406,1.80253,2.38393,1.71346,0.45985,0.54902,0.42477,0.17988,1.79807,3.15678,1.84608,0.0019604,0.0019604,0.0019604
6,474.919,1.7481,2.14962,1.6374,0.39243,0.60784,0.4598,0.1936,1.78275,2.93614,1.87459,0.0019505,0.0019505,0.0019505
7,555.635,1.69943,1.95546,1.61033,0.5024,0.52464,0.44817,0.19583,1.96751,2.88775,2.01705,0.0019406,0.0019406,0.0019406
8,616.599,1.71155,2.06807,1.64795,0.5779,0.36275,0.43702,0.17797,1.91084,2.94955,2.07933,0.0019307,0.0019307,0.0019307
9,673.477,1.60119,1.82359,1.5263,0.42488,0.44182,0.37125,0.17827,2.22024,4.03876,2.3543,0.0019208,0.0019208,0.0019208
10,724.018,1.58604,1.8238,1.51243,0.61878,0.56863,0.5767,0.26246,2.21914,3.03223,2.45262,0.0019109,0.0019109,0.0019109
11,772.402,1.53541,1.70843,1.46625,0.66678,0.65686,0.70114,0.33599,1.57859,2.12772,1.49038,0.001901,0.001901,0.001901
12,821.02,1.59077,1.7412,1.5265,0.62461,0.70588,0.66186,0.34525,1.55223,2.11755,1.53965,0.0018911,0.0018911,0.0018911
13,870.195,1.55273,1.76494,1.52865,0.4253,0.75455,0.51465,0.27665,1.46677,2.22793,1.42022,0.0018812,0.0018812,0.0018812
14,931.257,1.55374,1.66954,1.48525,0.51151,0.7451,0.60438,0.29654,1.55988,2.47596,1.54301,0.0018713,0.0018713,0.0018713
15,988.222,1.51668,1.67553,1.48009,0.61864,0.73529,0.66309,0.31813,1.53673,2.23038,1.52407,0.0018614,0.0018614,0.0018614
16,1046.52,1.53921,1.61109,1.45544,0.47618,0.68627,0.55113,0.30281,1.36605,1.99451,1.38385,0.0018515,0.0018515,0.0018515
17,1105.65,1.50139,1.64518,1.42069,0.48672,0.83333,0.63525,0.35824,1.45184,2.12357,1.43222,0.0018416,0.0018416,0.0018416
18,1171.04,1.50946,1.50854,1.43856,0.73569,0.57309,0.73844,0.43296,1.45564,2.3142,1.46969,0.0018317,0.0018317,0.0018317
19,1231.63,1.47395,1.51639,1.44949,0.51507,0.72549,0.6527,0.3476,1.47376,2.13447,1.46881,0.0018218,0.0018218,0.0018218
20,1303.28,1.43984,1.46098,1.38828,0.64713,0.70123,0.74333,0.42604,1.43368,1.84886,1.43261,0.0018119,0.0018119,0.0018119
21,1372.95,1.4202,1.39886,1.40091,0.6792,0.70588,0.75585,0.46558,1.41486,1.74782,1.46335,0.001802,0.001802,0.001802
