epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5136,5.49029,7.64216,6.4395,4.34518,0,0,0,0,0,0,0,0,5.07765,4.06004,4.02001,3.66864,8e-05,8e-05,8e-05
2,22.7658,5.41083,6.51197,4.34202,3.76767,0.00083,0.02564,0.00043,0.00013,0.00083,0.02564,0.00043,0.00013,4.36371,4.2934,3.67663,2.53335,0.000179109,0.000179109,0.000179109
3,34.0313,5.20618,4.53876,4.25529,3.34085,0.00167,0.05128,0.00088,0.00026,0.00083,0.02564,0.00043,9e-05,4.26624,4.85145,3.60203,2.34276,0.000277228,0.000277228,0.000277228
4,45.8879,4.67254,4.45432,3.89429,2.72408,0.00083,0.02564,0.00044,4e-05,0,0,0,0,5.00076,4.87961,3.9251,2.72236,0.000374357,0.000374357,0.000374357
5,57.5629,3.87489,3.82621,3.38653,2.21393,0,0,0,0,0,0,0,0,4.91838,6.2479,3.95795,2.5718,0.000470496,0.000470496,0.000470496
6,69.2322,3.84277,3.85025,3.46811,2.1193,0.00083,0.02564,0.00116,0.00012,0,0,0,0,4.83938,10.9919,3.89033,2.4592,0.000565645,0.000565645,0.000565645
7,80.9601,3.99722,3.79502,3.19335,2.096,0.00667,0.20513,0.00809,0.00155,0.00667,0.20513,0.01488,0.00217,4.24803,15.4752,3.4435,2.53219,0.000659804,0.000659804,0.000659804
8,92.0306,3.73605,3.25307,3.46319,2.08629,0.00667,0.20513,0.00809,0.00155,0.00667,0.20513,0.01488,0.00217,4.24803,15.4752,3.4435,2.53219,0.000752973,0.000752973,0.000752973
9,104.66,3.43115,3.46734,3.06606,2.00432,0.01083,0.33333,0.02501,0.00682,0.00667,0.20513,0.01864,0.00385,4.18349,24.3362,3.28155,2.87589,0.000845152,0.000845152,0.000845152
10,116.262,3.60616,3.49801,3.06651,1.94832,0.00833,0.25641,0.01074,0.00286,0.0075,0.23077,0.00715,0.00137,4.25839,6.20299,3.43626,2.78666,0.000936341,0.000936341,0.000936341
11,127.759,3.21192,3.09049,2.86894,1.87827,0.00833,0.25641,0.01074,0.00286,0.0075,0.23077,0.00715,0.00137,4.25839,6.20299,3.43626,2.78666,0.00102654,0.00102654,0.00102654
12,139.614,3.23736,3.48181,2.90893,1.94988,0.13534,0.05128,0.04526,0.02053,0.13118,0.05128,0.04497,0.01379,3.5938,5.60045,3.22094,2.00203,0.00111575,0.00111575,0.00111575
