epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8672,3.12953,4.9905,3.58273,2.14317,0.015,0.19149,0.00918,0.00279,0.00667,0.08511,0.00371,0.00075,2.65133,4.09071,3.44595,1.70415,0.0001,0.0001,0.0001
2,26.6041,2.44983,4.14697,3.33069,1.69198,0.03,0.38298,0.02156,0.00782,0.01083,0.1383,0.00691,0.00183,2.21723,3.55448,3.38452,1.44368,0.000218911,0.000218911,0.000218911
3,40.7494,2.21366,3.70036,3.19483,1.43106,0.045,0.57447,0.07459,0.02525,0.02583,0.32979,0.03671,0.00637,2.19438,3.64563,3.33318,1.39018,0.000336634,0.000336634,0.000336634
4,54.7675,2.16127,3.58692,3.06764,1.34098,0.04333,0.55319,0.03981,0.01263,0.02083,0.26596,0.0175,0.00419,1.97139,4.21067,3.40147,1.34692,0.000453169,0.000453169,0.000453169
5,69.0136,2.03931,3.30521,2.86459,1.36252,0.0525,0.67021,0.10415,0.02451,0.03583,0.45745,0.04868,0.0103,1.83204,3.54425,3.35874,1.26627,0.000568516,0.000568516,0.000568516
6,84.1287,1.91516,3.09761,2.7553,1.27277,0.06333,0.80851,0.16065,0.04968,0.035,0.44681,0.06738,0.01296,1.77326,3.38388,3.29143,1.23363,0.000682675,0.000682675,0.000682675
7,97.4267,1.83873,2.97967,2.56146,1.25665,0.065,0.82979,0.25923,0.09081,0.04,0.51064,0.12949,0.02355,1.75619,2.98872,3.12972,1.21372,0.000795646,0.000795646,0.000795646
8,111.875,2.00375,3.28262,2.4067,1.27437,0.065,0.82979,0.25923,0.09081,0.04,0.51064,0.12949,0.02355,1.75619,2.98872,3.12972,1.21372,0.000907429,0.000907429,0.000907429
9,125.975,1.80278,2.93347,2.30135,1.26007,0.0675,0.8617,0.14636,0.05058,0.035,0.44681,0.08944,0.02047,1.68586,3.35303,3.09823,1.22345,0.00101802,0.00101802,0.00101802
10,140.003,1.82388,3.00979,2.23796,1.25244,0.29781,0.19149,0.18237,0.0663,0.34157,0.19149,0.12928,0.02977,1.77525,2.93061,2.93781,1.33929,0.00112743,0.00112743,0.00112743
